id|title|releaseDate|storeReleaseDate|FinalPrice|OriginalPrice|PriceDiscountPercentage|PriceDiscountAmount|PriceCurrency|productState|storeLink|Developer|Publisher|OperatingSystem1|OperatingSystem2|OperatingSystem3|Tag1|Tag2|Tag3|Tag4|Tag5|Tag6|Tag7|Tag8|Tag9|Tag10
1199632771|Trantor: The Last Stormtrooper|1987-01-01|2022-11-29|1.74|6.99|-75.0|5.25|USD|default|https://www.gog.com/en/game/trantor_the_last_stormtrooper|Probe Software Ltd.|Throwback Entertainment|windows|linux||{'name': 'Action', 'slug': 'action'}|{'name': '2D', 'slug': 'two-dimensional'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Platformer', 'slug': 'platformer'}|{'name': 'Retro', 'slug': 'retro'}|{'name': 'Arcade', 'slug': 'arcade'}||||
2056304878|A Tower Full of Cats||2024-06-17|4.99|4.99||0.00|USD|default|https://www.gog.com/en/game/a_tower_full_of_cats|Devcats|Devcats|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Puzzle', 'slug': 'puzzle'}|{'name': 'Casual', 'slug': 'casual'}|{'name': 'Point&Click', 'slug': 'point-and-click'}|{'name': 'Historical', 'slug': 'historical'}|{'name': 'Family Friendly', 'slug': 'family-friendly'}|{'name': 'Relaxing', 'slug': 'relaxing'}|{'name': 'Hidden Object', 'slug': 'hidden-object'}|{'name': 'Cats', 'slug': 'cats'}|
1553169307|Dungeon Tavern||2024-06-27|7.99|9.99|-20.0|2.00|USD|early-access|https://www.gog.com/en/game/dungeon_tavern|Wallimog & Friends|TinyHat Studios|windows|||{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': '2D', 'slug': 'two-dimensional'}|{'name': 'Exploration', 'slug': 'exploration'}|{'name': 'Simulation', 'slug': 'simulation'}|{'name': 'Funny', 'slug': 'funny'}|{'name': 'Point&Click', 'slug': 'point-and-click'}|{'name': 'Sandbox', 'slug': 'sandbox'}|{'name': 'Sexual Content', 'slug': 'sexual-content'}|{'name': 'Nudity', 'slug': 'nudity'}|{'name': 'NSFW', 'slug': 'nsfw'}
1990512771|Great Naval Battles: The Final Fury||2023-12-19|5.99|9.99|-40.0|4.00|USD|default|https://www.gog.com/en/game/great_naval_battles_the_final_fury|IO Design Group, Divide By Zero|SNEG|windows|||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Turn-Based', 'slug': 'turn-based'}|{'name': 'Simulation', 'slug': 'simulation'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Tactical', 'slug': 'tactical'}|{'name': 'War', 'slug': 'war'}|{'name': 'World War II', 'slug': 'world-war-ii'}|{'name': 'Naval', 'slug': 'naval'}|{'name': 'World War I', 'slug': 'world-war-i'}|
1762190036|Bullet Runner|2024-11-14|1991-12-25||||||coming-soon|https://www.gog.com/en/game/bullet_runner|Kami Games|Bonus Stage Publishing|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Action', 'slug': 'action'}|{'name': 'Story Rich', 'slug': 'story-rich'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Pixel Graphics', 'slug': 'pixel-graphics'}|{'name': 'Funny', 'slug': 'funny'}|{'name': 'Top-Down', 'slug': 'top-down'}|{'name': 'Shooter', 'slug': 'shooter'}|{'name': 'Retro', 'slug': 'retro'}|{'name': 'Bullet Hell', 'slug': 'bullet-hell'}
1272982663|Sorry We're Closed|2024-11-14|1991-12-25||||||coming-soon|https://www.gog.com/en/game/sorry_were_closed|à la mode|Akupara Games|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Story Rich', 'slug': 'story-rich'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Female Protagonist', 'slug': 'female-protagonist'}|{'name': 'Dark', 'slug': 'dark'}|{'name': 'Horror', 'slug': 'horror'}|{'name': 'Survival', 'slug': 'survival'}|{'name': 'Gore', 'slug': 'gore'}|{'name': 'Multiple Endings', 'slug': 'multiple-endings'}|{'name': 'Psychological Horror', 'slug': 'psychological-horror'}
2108847100|Empire of the Ants|2024-11-07|2024-11-07|39.99|39.99||0.00|USD|preorder|https://www.gog.com/en/game/empire_of_the_ants|Tower Five|Microids|windows|||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Exploration', 'slug': 'exploration'}|{'name': 'Real-Time', 'slug': 'real-time'}|{'name': 'War', 'slug': 'war'}|{'name': 'Crafting', 'slug': 'crafting'}|{'name': 'RTS', 'slug': 'rts'}|{'name': 'Realistic', 'slug': 'realistic'}|{'name': 'Grand Strategy', 'slug': 'grand-strategy'}
1333742671|Cabernet|2024-10-24|2024-10-24|17.99|19.99|-10.0|2.00|USD|preorder|https://www.gog.com/en/game/cabernet|Party for Introverts|Akupara Games|windows|||{'name': 'Story Rich', 'slug': 'story-rich'}|{'name': 'Role-playing', 'slug': 'role-playing'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': '2D', 'slug': 'two-dimensional'}|{'name': 'Exploration', 'slug': 'exploration'}|{'name': 'Female Protagonist', 'slug': 'female-protagonist'}|{'name': 'Choices Matter', 'slug': 'choices-matter'}|{'name': 'Horror', 'slug': 'horror'}|{'name': 'Visual Novel', 'slug': 'visual-novel'}|{'name': 'Multiple Endings', 'slug': 'multiple-endings'}
1510817234|Care Bears: To The Rescue|2024-10-24|1991-12-25||||||coming-soon|https://www.gog.com/en/game/care_bears_to_the_rescue|Polygoat|Forever Entertainment S. A.|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Action', 'slug': 'action'}|{'name': 'Exploration', 'slug': 'exploration'}|{'name': 'Casual', 'slug': 'casual'}|{'name': 'Platformer', 'slug': 'platformer'}|{'name': 'Multiplayer', 'slug': 'multiplayer'}|{'name': 'Family Friendly', 'slug': 'family-friendly'}|{'name': 'Relaxing', 'slug': 'relaxing'}|{'name': 'Local Co-Op', 'slug': 'local-co-op'}|{'name': 'Local Multiplayer', 'slug': 'local-multiplayer'}
1317619868|Flint: Treasure of Oblivion|2024-10-24|1991-12-25||||||coming-soon|https://www.gog.com/en/game/flint_the_treasure_of_oblivion|Savage Level|Microids|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Action', 'slug': 'action'}|{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Story Rich', 'slug': 'story-rich'}|{'name': 'Role-playing', 'slug': 'role-playing'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Turn-Based', 'slug': 'turn-based'}|{'name': 'Exploration', 'slug': 'exploration'}|{'name': 'Tactical', 'slug': 'tactical'}
1882505557|The Smurfs – Dreams|2024-10-24|1991-12-25||||||coming-soon|https://www.gog.com/en/game/the_smurfs_dreams|Ocellus|Microids|windows|||{'name': 'Adventure', 'slug': 'adventure'}|{'name': 'Action', 'slug': 'action'}|{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Exploration', 'slug': 'exploration'}|{'name': 'Platformer', 'slug': 'platformer'}|{'name': 'Family Friendly', 'slug': 'family-friendly'}|{'name': 'Cartoony', 'slug': 'cartoony'}|{'name': 'Local Co-Op', 'slug': 'local-co-op'}||
