id|title|releaseDate|storeReleaseDate|FinalPrice|OriginalPrice|PriceDiscountPercentage|PriceDiscountAmount|PriceCurrency|productState|storeLink|Developer|Publisher|OperatingSystem1|OperatingSystem2|OperatingSystem3|Tag1|Tag2|Tag3|Tag4|Tag5|Tag6|Tag7|Tag8|Tag9|Tag10
^1488738238^|^LEGO® Bricktales^|^2022-10-12^|^2022-10-12^|^8.99^|^29.99^|^-70.0^|^21.00^|^USD^|^default^|^https://www.gog.com/en/game/lego_bricktales^|^ClockStone^|^Thunderful Publishing^|^windows^|^linux^|^osx^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Exploration', 'slug': 'exploration'}^|^{'name': 'Puzzle', 'slug': 'puzzle'}^|^{'name': 'Casual', 'slug': 'casual'}^|^{'name': 'Funny', 'slug': 'funny'}^|^{'name': 'Isometric', 'slug': 'isometric'}^|^{'name': 'Family Friendly', 'slug': 'family-friendly'}^|^{'name': 'Relaxing', 'slug': 'relaxing'}^|^{'name': 'Building', 'slug': 'building'}^
^1534123252^|^Resident Evil 2^|^1999-02-19^|^2024-08-27^|^9.99^|^9.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/resident_evil_2^|^Capcom / GOG^|^Capcom^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Female Protagonist', 'slug': 'female-protagonist'}^|^{'name': 'Horror', 'slug': 'horror'}^|^{'name': 'Third Person', 'slug': 'third-person'}^|^{'name': 'Survival', 'slug': 'survival'}^|^{'name': 'Gore', 'slug': 'gore'}^|^{'name': 'Fighting', 'slug': 'fighting'}^|^{'name': 'Zombies', 'slug': 'zombies'}^
^1256837418^|^Cyberpunk 2077: Phantom Liberty^|^2023-09-26^|^2023-09-26^|^29.99^|^29.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/cyberpunk_2077_phantom_liberty^|^CD PROJEKT RED^|^CD PROJEKT RED^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Role-playing', 'slug': 'role-playing'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Sci-fi', 'slug': 'sci-fi'}^|^{'name': 'Science', 'slug': 'science'}^|^{'name': 'First-Person', 'slug': 'first-person'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Choices Matter', 'slug': 'choices-matter'}^|^{'name': 'Open World', 'slug': 'open-world'}^
^1580232252^|^Resident Evil^|^1997-09-14^|^2024-06-26^|^9.99^|^9.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/resident_evil^|^Capcom / GOG^|^Capcom^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Horror', 'slug': 'horror'}^|^{'name': 'Third Person', 'slug': 'third-person'}^|^{'name': 'Violent', 'slug': 'violent'}^|^{'name': 'Survival', 'slug': 'survival'}^|^{'name': 'Zombies', 'slug': 'zombies'}^|^{'name': 'Only On GOG', 'slug': 'only-on-gog'}^|^^|^^
^1266089300^|^Resident Evil 3^|^2000-06-16^|^2024-09-25^|^^|^^|^^|^^|^^|^coming-soon^|^https://www.gog.com/en/game/resident_evil_3^|^Capcom / GOG^|^Capcom^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Female Protagonist', 'slug': 'female-protagonist'}^|^{'name': 'Horror', 'slug': 'horror'}^|^{'name': 'Violent', 'slug': 'violent'}^|^{'name': 'Survival', 'slug': 'survival'}^|^{'name': 'Gore', 'slug': 'gore'}^|^{'name': 'Zombies', 'slug': 'zombies'}^|^{'name': 'Only On GOG', 'slug': 'only-on-gog'}^
^1207658787^|^Heroes of Might and Magic® 3: Complete^|^1999-06-01^|^1991-12-25^|^9.99^|^9.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/heroes_of_might_and_magic_3_complete_edition^|^New World Computing, Inc.^|^Ubisoft^|^windows^|^^|^^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Turn-Based', 'slug': 'turn-based'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Management', 'slug': 'management'}^|^{'name': 'Tactical', 'slug': 'tactical'}^|^{'name': 'Multiplayer', 'slug': 'multiplayer'}^|^{'name': 'Resource Management', 'slug': 'resource-management'}^
^1741843789^|^Sleeping Dogs: Definitive Edition^|^2014-10-08^|^2021-06-09^|^2.99^|^19.99^|^-85.0^|^17.00^|^USD^|^default^|^https://www.gog.com/en/game/sleeping_dogs_definitive_edition^|^United Front Games^|^Square Enix^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Open World', 'slug': 'open-world'}^|^{'name': 'Gore', 'slug': 'gore'}^|^{'name': 'Mature', 'slug': 'mature'}^|^^|^^|^^|^^|^^
^1446213994^|^No Man's Sky^|^2016-08-12^|^2016-08-12^|^23.99^|^59.99^|^-60.0^|^36.00^|^USD^|^default^|^https://www.gog.com/en/game/no_mans_sky^|^Hello Games^|^Hello Games^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Science', 'slug': 'science'}^|^{'name': 'Exploration', 'slug': 'exploration'}^|^{'name': 'First-Person', 'slug': 'first-person'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Open World', 'slug': 'open-world'}^|^{'name': 'Multiplayer', 'slug': 'multiplayer'}^
^1141086411^|^Silent Hill 4: The Room^|^2004-09-07^|^2020-10-02^|^6.99^|^9.99^|^-30.0^|^3.00^|^USD^|^default^|^https://www.gog.com/en/game/silent_hill_4_the_room^|^Team Silent^|^KONAMI^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Dark', 'slug': 'dark'}^|^{'name': 'Horror', 'slug': 'horror'}^|^{'name': 'Good Old Game', 'slug': 'good-old-game'}^|^{'name': 'Survival Horror', 'slug': 'survival-horror'}^|^{'name': 'Only On GOG', 'slug': 'only-on-gog'}^|^^|^^
^1207658713^|^Stronghold Crusader HD^|^2002-09-27^|^2012-11-01^|^1.99^|^9.99^|^-80.0^|^8.00^|^USD^|^default^|^https://www.gog.com/en/game/stronghold_crusader^|^FireFly Studios^|^FireFly Studios^|^windows^|^^|^^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Management', 'slug': 'management'}^|^{'name': 'Open World', 'slug': 'open-world'}^|^{'name': 'Sandbox', 'slug': 'sandbox'}^|^{'name': 'Historical', 'slug': 'historical'}^|^{'name': 'Resource Management', 'slug': 'resource-management'}^|^{'name': 'Isometric', 'slug': 'isometric'}^|^{'name': 'War', 'slug': 'war'}^
