id,gog_game_id,FK,fact
title,gog_game_title,,dim
releaseDate,gog_game_releaseDate,,dim
storeReleaseDate,gog_game_storeReleaseDate,,dim
FinalPrice,gog_game_FinalPrice,,fact
OriginalPrice,gog_game_OriginalPrice,,fact
PriceDiscountPercentage,gog_game_PriceDiscountPercentag_e,,fact
PriceDiscountAmount,gog_game_PriceDiscountAmount,,fact
PriceCurrency,gog_game_PriceCurrency,,dim
productState,gog_game_productState,,dim
storeLink,gog_game_storeLink,,dim
Developer1,gog_game_Developer1,,dim
Publisher1,gog_game_Publisher1,,dim
Tag1,gog_game_tag_1,,dim
Tag2,gog_game_tag_2,,dim
Tag3,gog_game_tag_3,,dim
Tag4,gog_game_tag_4,,dim
Tag5,gog_game_tag_5,,dim
Tag6,gog_game_tag_6,,dim
Tag7,gog_game_tag_7,,dim
Tag8,gog_game_tag_8,,dim
Tag9,gog_game_tag_9,,dim
Tag10,gog_game_tag_10,,dim
Tag11,gog_game_tag_11,,dim
Tag12,gog_game_tag_12,,dim
Tag13,gog_game_tag_13,,dim
Tag14,gog_game_tag_14,,dim
Tag15,gog_game_tag_15,,dim
Tag16,gog_game_tag_16,,dim
tag_17,gog_game_tag__17,,dim
tag_18,gog_game_tag__18,,dim
OperatingSystem1,gog_game_OperatingSystem1,,dim
OperatingSystem2,gog_game_OperatingSystem2,,dim
OperatingSystem3,gog_game_OperatingSystem3,,dim
