steam_game_id|steam_game_name|developer|publisher|release_date|genre_1_id|genre_1_description|on_windows_pc_platform|on_mac_platform|on_linux_platform
2391870|MareQuest: An Interactive Tail|ElectroKaplosion LLC|ElectroKaplosion LLC|Sep 14, 2023|25|Adventure|True|False|False
2391890|PixARK - A Sweet Pack for the Sweetest|Snail Games USA|Snail Games USA|Apr 27, 2023|1|Action|True|False|False
2391900|Champion Shift|SRG Studios|SRG Studios|Jun 21, 2024|1|Action|True|False|False
2391910|Gather|Janius Digital|Janius Digital|May 16, 2023|4|Casual|True|False|False
2391940|Enigma Station|Lifeforms.io|Lifeforms.io|To be announced|25|Adventure|True|False|False
2391950|A Thug's Ascension|Moonwalk Games|TheGamePublisher.com|Jan 18, 2024|1|Action|True|True|False
2391960|Tales of Arise - Beyond the Dawn Expansion|Bandai Namco Studios Inc.|Bandai Namco Entertainment|Nov 8, 2023|1|Action|True|False|False
2391961|Tales of Arise - Classic Characters Costume & Arranged BGM Pack|Bandai Namco Studios Inc.|Bandai Namco Entertainment|Nov 8, 2023|1|Action|True|False|False
2391990|Highland Panic|Midnite Oil Software L.L.C.|Midnite Oil Software L.L.C.|Oct 2, 2023|4|Casual|True|False|False
2392000|Ultra Foodmess 2|Painful Smile|Painful Smile|Feb 26, 2024|1|Action|True|False|False
2392010|Heat Division: Rescue Team|Pi0h1|Pi0h1|2025|1|Action|True|False|False
2391090|ASTRONAVE|Doug B.|Doug B.|May 19, 2024|1|Action|True|False|False
2391100|Button VR Expeditions|Alex VR|Alex VR|Apr 29, 2023|25|Adventure|True|False|False
2391200|Floomy|Muddrox|Muddrox|Jan 18, 2024|1|Action|True|False|False
2391220|Let's Play! Oink Games - Kobayakawa|Oink Games Inc.|Oink Games Inc.|Sep 13, 2023|4|Casual|True|False|False
2391300|The Dev: Enter The Blockchain|The Dev!|Rockfire Games|Sep 29, 2023|1|Action|True|False|False
2391340|Heavenly Bodies - Cleanup DLC|2pt Interactive|N/A|Jul 26, 2023|1|Action|True|True|False
2391350|Soul of Butterflies: Incubation|Project Starry|Project Starry|Nov 11, 2023|25|Adventure|True|True|False
2391360|Freestyle2 - 50 Sub ATT & 50 Sub ATT Lock Package|JOYCITY|JOYCITY|Apr 12, 2023|1|Action|True|False|False
2391420|Below the Surface:Uncovering the Truth in the Sewers|QZQ Studio|QZQ Studio|May 5, 2023|25|Adventure|True|False|False
2391490|Sorcerer's mid-month exam|Aincvy|Aincvy|May 4, 2023|1|Action|True|False|False
2390590|I commissioned some butterflies|Follow the fun|I commissioned some series|Jan 19, 2024|4|Casual|True|False|False
2390600|I commissioned some letters|Follow the fun|I commissioned some series|Dec 15, 2023|4|Casual|True|False|False
2390630|Dungeon Knight Soundtrack|BunaGames|BunaGames|May 21, 2023|N/A|N/A|True|True|True
2390650|Boomeraxe|SoBad|SoBad|Jul 26, 2023|1|Action|True|False|False
2390660|Collapsed Galaxy 2|Starshift Studio|Starshift Studio|Q4 2024|2|Strategy|True|False|False
2390670|ASSASSIN: The First List (Beta)|AKIYAM|AKIYAM|May 17, 2023|1|Action|True|False|False
2390680|Arcane Warlords|Amped Horizon|Amped Horizon|To be announced|23|Indie|True|False|False
2390700|Edingir Odyssey|Alcratz|Alcratz|To be announced|1|Action|True|False|False
2390730|Knight Trail|Frog Vibes|Frog Vibes|May 25, 2023|3|RPG|True|False|False
2390740|JumpPower Playtest|N/A|N/A|Apr 27, 2023|N/A|N/A|True|False|False
2390750|Doppa|DreamlessHero|DreamlessHero|May 2, 2023|1|Action|True|False|False
2390780|1984|Inner Party|Inner Party|To be announced|25|Adventure|True|False|False
2390820|Save City R|Blessing Company|Blessing Company|Oct 2, 2023|1|Action|True|False|False
2390840|Zombie Defense: The Last Frontier|LilMemes Production| LilMemes Production|Jan 5, 2024|1|Action|True|False|False
2390850|iAlly|Veysel ÇINAR|Serkan ÇINAR|Oct 27, 2023|1|Action|True|False|False
2390860|Mine|99cent|99cent|Apr 28, 2023|1|Action|True|False|False
2390890|New Stars Playtest|N/A|N/A|Aug 22, 2023|N/A|N/A|True|False|False
2390900|STIM|StimTraders|StimTraders|Jun 20, 2023|1|Action|True|False|False
2390910|Arcane Revolt|Moonflake|Moonflake|2024|1|Action|True|False|False
2390940|Pempe|Kubili|Kubili|May 18, 2023|1|Action|True|False|False
2391030|X-Mode Playtest|N/A|N/A|Aug 19, 2023|N/A|N/A|True|False|False
2391040|Teacher Certification Hell|HaoHao Games|HaoHao Games|May 8, 2023|1|Action|True|False|False
2391050|Blaster Panic|Pirate Dog Games|Pirate Dog Games|Jun 26, 2023|1|Action|True|False|False
