steam_game_id|steam_game_name|developer|publisher|release_date|genre_1_id|genre_1_description|on_windows_pc_platform|on_mac_platform|on_linux_platform
2118850|Daigaku Gurashi|YamiToast|YamiToast|Sep 1, 2022|4|Casual|True|False|False
2118860|Coloring Pixels - Flag 2 Pack|ToastieLabs|ToastieLabs|Sep 9, 2022|4|Casual|True|True|False
2118880|Sweet Car Wash - Artbook 18+|Kotovodk Studio|Kotovodk Studio|Aug 21, 2022|4|Casual|True|False|False
2118910|'The Chaput''s Baby'|Gundes|Gundes|Sep 26, 2022|1|Action|True|False|False
2118970|'Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Classic Dragon''s Lair'|SmiteWorks USA, LLC|N/A|Sep 6, 2022|23|Indie|True|True|False
2118990|Mars: The New Eden|CGGAMES|CGGAMES|Sep 2, 2022|25|Adventure|True|False|False
2119000|Elves Christmas Hentai Puzzle|Sweet Banana Games|Gamuzumi|Dec 16, 2022|4|Casual|True|False|True
2119030|Fantasy Grounds - Pathfinder RPG - Pathfinder Flip-Mat - Classic Hamlet|SmiteWorks USA, LLC|N/A|Jan 31, 2023|23|Indie|True|True|False
2119050|Idle Vikings Clicker|PaulArt|PaulArt|Sep 12, 2022|23|Indie|True|False|False
