steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
2654470|BUNNY GARDEN|False|qureate|qureate|25|Adventure|4|Casual|2024-04-18|0|True|False|False
2720010|Rogue Fable IV|False|Pixel Forge Games|Pixel Forge Games|25|Adventure|23|Indie|2024-01-26|0|True|True|False
2588940|Dualikiwi|False|Dualikiwi Games LLC|Dualikiwi Games LLC|4|Casual|23|Indie||0|True|False|False
1310990|Bishojo Mangekyo Kotowari to Meikyu no Shojo|False|ωstar|Seikei Production|25|Adventure|23|Indie|2021-06-20|0|True|False|False
1409300|Rendezvous|False|Pendopo Creations|Hitcents|25|Adventure|23|Indie|2023-04-10|0|True|False|False
1278230|DENIAL|False|Ofek Ben Shalom|Ofek Ben Shalom|23|Indie|N/A|N/A|2020-05-04|0|True|False|False
2588960|BRAIN QUIZ|False|Ange Ruiz|Howling Wolf interactive|23|Indie|28|Simulation|2023-09-24|0|True|False|False
1409320|VR Travelling towards World War III Scenario: Post Nuclear War Earth Fantasy|False|William at Oxford|William at Oxford|4|Casual|N/A|N/A|2020-09-15|0|True|False|False
2720040|F.I.T.|False|OddInquiry Interactive|OddInquiry Interactive|1|Action|4|Casual|2024-01-26|0|True|False|False
1409330|VR Travelling back to our childhoods: VR 1980s|False|William at Oxford|William at Oxford|4|Casual|N/A|N/A|2020-09-15|0|True|False|False
2720050|D.A.M. Champion|False|Ikari Creative|Ikari Creative|3|RPG|N/A|N/A|2024-11-15|0|True|False|False
2654520|Hypnosis Sister Clicker|False|AiAiFactory| Dieselmine|4|Casual|23|Indie|2023-11-20|0|True|False|False
1409340|Pray in VR Medieval Christian Churches|False|William at Oxford|William at Oxford|4|Casual|N/A|N/A|2020-11-25|0|True|False|False
1278270|Fire Rescue Simulator|False|Tyler Devine|AdTechGames|1|Action|25|Adventure|2020-04-16|0|True|False|False
1343810|Fallen Hero: Retribution|False|Hosted Games|Hosted Games|1|Action|25|Adventure|2023-02-02|0|True|True|True
2654530|Squash Sport Game 2024|False|Virteon Games|Virteon Games|23|Indie|18|Sports|2024-01-01|0|True|False|False
2687300|Aarik And The Ruined Kingdom|False|Shatterproof Games|Shatterproof Games|25|Adventure|23|Indie|2024-06-20|0|True|True|False
1409350|Brushlings Pale Moon|False|Benjamin Boese|Soka Game Design|25|Adventure|4|Casual|2022-01-05|0|True|False|False
2654540|无休仙途|False|GOCORE|GOCORE|25|Adventure|4|Casual|2024-07-25|0|True|False|False
1409360|Roots of the mind|False|David J. Productions|David J. Productions|1|Action|25|Adventure|2023-11-08|0|True|False|False
1278290|xDasher|False|Pixel Beef Games|Pixel Beef Games|1|Action|4|Casual|2020-10-14|0|True|False|False
3277140|Pirates Never Die|False|Konvenant|Konvenant|1|Action|25|Adventure|2025-01-17|0|True|False|False
2720090|The Resort|False|Cicada_Dancing|Cicada_Dancing|28|Simulation|N/A|N/A|2023-12-20|0|True|False|True
1311070|Greak: Memories of Azur|False|Navegante|Team17|1|Action|25|Adventure|2021-08-17|0|True|False|False
2621790|Project Hybrid|False|Vacantknight5|Vacantknight Studios|1|Action|23|Indie|2024-02-05|0|True|False|False
2654580|Succulust|False|Pinky Pads|Pinky Pads|25|Adventure|4|Casual|2023-12-04|0|True|False|False
2720130|Rogue Sky|False|Megabit Games|Megabit Games|1|Action|23|Indie||0|True|False|False
2621830|Urban Intel: Special Ops|False|DonLyfe Games And Entertainment|Desmon Bonaparte|1|Action|N/A|N/A|2023-11-16|0|True|False|False
1343880|Afraid Of The Night|False|CatMania Studio|CatMania Studio|1|Action|25|Adventure|2027-01-01|0|True|False|False
2687370|Heroes of Higher Realms|False|DreamMasters Studio|Greenlynx|25|Adventure|23|Indie|2024-06-16|0|True|False|False
2720140|CoinBlock Clicker Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2023-12-13|0|True|False|False
1278350|Jelly Brawl|False|Tiny Shiny Things|Tiny Shiny Things|1|Action|4|Casual|2020-10-27|0|True|True|True
1278370|Lost Circus VR - The Prologue|False|VIRTUAL MAGIC|VIRTUAL MAGIC|1|Action|25|Adventure|2020-04-23|0|True|False|False
1311150|Long Car Journey - A road trip game|False|Huge|Huge|1|Action|25|Adventure|2020-06-04|0|True|False|False
1343920|Mighty Fling|False|Hollow Art Studios|Hollow Art Studios|1|Action|25|Adventure|2020-07-20|0|True|False|False
1278390|Succumate|False|Dojin Otome|Kagura Games|25|Adventure|23|Indie|2020-11-20|0|True|False|False
2589120|The Backrooms Recorded|False|Niux|Niux|23|Indie|28|Simulation|2023-09-22|0|True|False|False
2589130|The Stormy Islands|False|SeMaxYa|SeMaxYa|25|Adventure|23|Indie|2023-10-18|0|True|False|False
2621900|Railway Islands 2 - Puzzle|False|Rising Moon Games|Rising Moon Games|4|Casual|23|Indie|2023-11-20|0|True|False|False
2720210|Driving Home(icide)|False|Chimera Coast Games|Chimera Coast Games|1|Action|25|Adventure|2024-01-03|0|True|True|False
1311190|Hentai Monster Quiz|False|Cyber Keks|Cyber Keks|4|Casual|23|Indie|2020-06-12|0|True|False|False
3277270|Quarter Lie|False|prosto|prosto|25|Adventure|N/A|N/A|2024-01-01|0|True|False|False
